Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_TestSuite_Login_001,Chrome 121.0.0.0,,,31-01-2024 17:36:35,31-01-2024 17:36:46,10.970s,PASSED
,,,,,,,
Test Cases/TC_CURA_Login_001,Chrome 121.0.0.0,Validate the CURA Healthcare Service website for successful login,,31-01-2024 17:36:35,31-01-2024 17:36:46,10.827s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 17:36:35,31-01-2024 17:36:41,6.046s,PASSED
Start setup action : setupTestCase,Chrome 121.0.0.0,,,31-01-2024 17:36:41,31-01-2024 17:36:42,0.991s,PASSED
"setText(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_Username_username""), findTestData(""DDT_Test Data/CURA_Login_TestData"").getValue(""input_Username"", 1))",Chrome 121.0.0.0,,,31-01-2024 17:36:42,31-01-2024 17:36:44,1.412s,PASSED
"setText(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_Password_password""), findTestData(""DDT_Test Data/CURA_Login_TestData"").getValue(""input_Password"", 1))",Chrome 121.0.0.0,,,31-01-2024 17:36:44,31-01-2024 17:36:44,0.677s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,31-01-2024 17:36:44,31-01-2024 17:36:45,1.017s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/h2_Make Appointment""), 0)",Chrome 121.0.0.0,,,31-01-2024 17:36:45,31-01-2024 17:36:46,0.393s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 17:36:46,31-01-2024 17:36:46,0.185s,PASSED
