Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_TestSuite_Logout_005,Chrome 121.0.0.0,,,31-01-2024 17:38:05,31-01-2024 17:38:23,18.225s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logout_005,Chrome 121.0.0.0,Validate the CURA Healthcare Service website for successful logout,,31-01-2024 17:38:05,31-01-2024 17:38:23,18.103s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 17:38:05,31-01-2024 17:38:11,5.860s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,31-01-2024 17:38:11,31-01-2024 17:38:12,0.814s,PASSED
"setText(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_Username_username""), findTestData(""DDT_Test Data/CURA_Login_TestData"").getValue(""input_Username"", 1))",Chrome 121.0.0.0,,,31-01-2024 17:38:12,31-01-2024 17:38:13,1.312s,PASSED
"setText(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_Password_password""), findTestData(""DDT_Test Data/CURA_Login_TestData"").getValue(""input_Password"", 1))",Chrome 121.0.0.0,,,31-01-2024 17:38:13,31-01-2024 17:38:13,0.624s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,31-01-2024 17:38:14,31-01-2024 17:38:14,0.944s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/h2_Make Appointment""), 0)",Chrome 121.0.0.0,,,31-01-2024 17:38:14,31-01-2024 17:38:15,0.414s,PASSED
delay(1),Chrome 121.0.0.0,,,31-01-2024 17:38:15,31-01-2024 17:38:16,1.039s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 121.0.0.0,,,31-01-2024 17:38:16,31-01-2024 17:38:16,0.372s,PASSED
delay(2),Chrome 121.0.0.0,,,31-01-2024 17:38:16,31-01-2024 17:38:18,2.009s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/a_Logout""), 0)",Chrome 121.0.0.0,,,31-01-2024 17:38:18,31-01-2024 17:38:19,0.280s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/a_Logout""))",Chrome 121.0.0.0,,,31-01-2024 17:38:19,31-01-2024 17:38:19,0.287s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/a_Logout""))",Chrome 121.0.0.0,,,31-01-2024 17:38:19,31-01-2024 17:38:20,0.964s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 121.0.0.0,,,31-01-2024 17:38:20,31-01-2024 17:38:20,0.310s,PASSED
delay(2),Chrome 121.0.0.0,,,31-01-2024 17:38:20,31-01-2024 17:38:22,2.007s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/a_Login""), 0)",Chrome 121.0.0.0,,,31-01-2024 17:38:22,31-01-2024 17:38:22,0.282s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,31-01-2024 17:38:22,31-01-2024 17:38:23,0.268s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 17:38:23,31-01-2024 17:38:23,0.184s,PASSED
