Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_TestSuite_MakeAppointment_002,Chrome 121.0.0.0,,,31-01-2024 17:36:57,31-01-2024 17:37:20,23.137s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointment_002,Chrome 121.0.0.0,Validate the CURA Healthcare Service website to make an appointment,,31-01-2024 17:36:57,31-01-2024 17:37:20,22.994s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,31-01-2024 17:36:57,31-01-2024 17:37:03,5.627s,PASSED
Start setup action : setupTestCase,Chrome 121.0.0.0,,,31-01-2024 17:37:03,31-01-2024 17:37:06,3.903s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center_5b4107""), ""Hongkong CURA Healthcare Center"", false, 0)",Chrome 121.0.0.0,,,31-01-2024 17:37:07,31-01-2024 17:37:07,0.666s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center_5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 121.0.0.0,,,31-01-2024 17:37:07,31-01-2024 17:37:08,0.855s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 121.0.0.0,,,31-01-2024 17:37:08,31-01-2024 17:37:08,0.293s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 121.0.0.0,,,31-01-2024 17:37:08,31-01-2024 17:37:09,0.309s,PASSED
delay(1),Chrome 121.0.0.0,,,31-01-2024 17:37:09,31-01-2024 17:37:10,1.051s,PASSED
"unchecked = verifyElementNotChecked(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_Medicaid_programs""), 0)",Chrome 121.0.0.0,,,31-01-2024 17:37:10,31-01-2024 17:37:10,0.287s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 121.0.0.0,,,31-01-2024 17:37:10,31-01-2024 17:37:10,0.294s,PASSED
"if (unchecked == ""true"")",Chrome 121.0.0.0,,,31-01-2024 17:37:10,31-01-2024 17:37:10,0.022s,PASSED
delay(2),Chrome 121.0.0.0,,,31-01-2024 17:37:10,31-01-2024 17:37:12,2.026s,PASSED
"verifyElementChecked(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_Medicaid_programs""), 0)",Chrome 121.0.0.0,,,31-01-2024 17:37:12,31-01-2024 17:37:13,0.278s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/input_visit_date""))",Chrome 121.0.0.0,,,31-01-2024 17:37:13,31-01-2024 17:37:13,0.333s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/td_31""))",Chrome 121.0.0.0,,,31-01-2024 17:37:13,31-01-2024 17:37:14,0.531s,PASSED
"setText(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/textarea_comment""), ""Sample Test"")",Chrome 121.0.0.0,,,31-01-2024 17:37:14,31-01-2024 17:37:14,0.832s,PASSED
"click(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,31-01-2024 17:37:14,31-01-2024 17:37:15,0.635s,PASSED
delay(2),Chrome 121.0.0.0,,,31-01-2024 17:37:15,31-01-2024 17:37:17,2.006s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/CURA_Pages_OR/Page_CURA Healthcare Service/h2_Appointment Confirmation""), 0)",Chrome 121.0.0.0,,,31-01-2024 17:37:17,31-01-2024 17:37:17,0.279s,PASSED
Start tear down : tearDownTestCase,Chrome 121.0.0.0,,,31-01-2024 17:37:17,31-01-2024 17:37:20,2.388s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,31-01-2024 17:37:20,31-01-2024 17:37:20,0.157s,PASSED
